[ 2012-08-07T22:37:45+08:00 ] /fornu/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-08-07T22:37:45+08:00 ] /fornu/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000661s ]
[ 2012-08-07T22:37:45+08:00 ] /fornu/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.168212s ]
[ 2012-08-07T22:37:45+08:00 ] /fornu/admin.php | INFO: Tag[ view_template ] --START--
[ 2012-08-07T22:37:45+08:00 ] /fornu/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000603s ]
[ 2012-08-07T22:37:45+08:00 ] /fornu/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000680s ]
[ 2012-08-07T22:37:45+08:00 ] /fornu/admin.php | INFO: Tag[ view_parse ] --START--
[ 2012-08-07T22:37:45+08:00 ] /fornu/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.231295s ]
[ 2012-08-07T22:37:45+08:00 ] /fornu/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.231392s ]
[ 2012-08-07T22:37:45+08:00 ] /fornu/admin.php | INFO: Tag[ view_filter ] --START--
[ 2012-08-07T22:37:45+08:00 ] /fornu/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.000504s ]
[ 2012-08-07T22:37:45+08:00 ] /fornu/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.000514s ]
[ 2012-08-07T22:37:45+08:00 ] /fornu/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000484s ]
[ 2012-08-07T22:37:45+08:00 ] /fornu/admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.001013s ]
[ 2012-08-07T22:37:45+08:00 ] /fornu/admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002824s ]
[ 2012-08-07T22:37:45+08:00 ] /fornu/admin.php | INFO: Tag[ view_end ] --START--
[ 2012-08-07T22:37:45+08:00 ] /fornu/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000642s ]
[ 2012-08-07T22:37:45+08:00 ] /fornu/admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000733s ]
[ 2012-08-07T22:37:55+08:00 ] /fornu/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-08-07T22:37:55+08:00 ] /fornu/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000626s ]
[ 2012-08-07T22:37:55+08:00 ] /fornu/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000710s ]
[ 2012-08-07T22:37:55+08:00 ] /fornu/admin.php | INFO: Tag[ view_template ] --START--
[ 2012-08-07T22:37:55+08:00 ] /fornu/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000634s ]
[ 2012-08-07T22:37:55+08:00 ] /fornu/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000712s ]
[ 2012-08-07T22:37:55+08:00 ] /fornu/admin.php | INFO: Tag[ view_parse ] --START--
[ 2012-08-07T22:37:55+08:00 ] /fornu/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.006517s ]
[ 2012-08-07T22:37:55+08:00 ] /fornu/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006605s ]
[ 2012-08-07T22:37:55+08:00 ] /fornu/admin.php | INFO: Tag[ view_filter ] --START--
[ 2012-08-07T22:37:55+08:00 ] /fornu/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.000400s ]
[ 2012-08-07T22:37:55+08:00 ] /fornu/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.000450s ]
[ 2012-08-07T22:37:55+08:00 ] /fornu/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000272s ]
[ 2012-08-07T22:37:55+08:00 ] /fornu/admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000422s ]
[ 2012-08-07T22:37:55+08:00 ] /fornu/admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001697s ]
[ 2012-08-07T22:37:55+08:00 ] /fornu/admin.php | INFO: Tag[ view_end ] --START--
[ 2012-08-07T22:37:55+08:00 ] /fornu/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000376s ]
[ 2012-08-07T22:37:55+08:00 ] /fornu/admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000430s ]
[ 2012-08-07T22:37:58+08:00 ] /fornu/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-08-07T22:37:58+08:00 ] /fornu/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000471s ]
[ 2012-08-07T22:37:58+08:00 ] /fornu/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000547s ]
[ 2012-08-07T22:37:58+08:00 ] /fornu/admin.php | INFO: Tag[ view_template ] --START--
[ 2012-08-07T22:37:58+08:00 ] /fornu/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000686s ]
[ 2012-08-07T22:37:58+08:00 ] /fornu/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000774s ]
[ 2012-08-07T22:37:58+08:00 ] /fornu/admin.php | INFO: Tag[ view_parse ] --START--
[ 2012-08-07T22:37:58+08:00 ] /fornu/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.005607s ]
[ 2012-08-07T22:37:58+08:00 ] /fornu/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.005680s ]
[ 2012-08-07T22:37:58+08:00 ] /fornu/admin.php | INFO: Tag[ view_filter ] --START--
