[ 2012-08-08T02:05:51+08:00 ] /fornu/index.php/User/reg | ERR: (ThinkException) 无法加载模块User
[ 2012-08-08T02:07:12+08:00 ] /fornu/index.php/User/add | ERR: (ThinkException) 非法操作add
[ 2012-08-08T02:07:16+08:00 ] /fornu/index.php/User/reg | INFO: Tag[ route_check ] --START--
[ 2012-08-08T02:07:16+08:00 ] /fornu/index.php/User/reg | INFO: Run CheckRoute Behavior [ RunTime:0.001402s ]
[ 2012-08-08T02:07:16+08:00 ] /fornu/index.php/User/reg | INFO: Tag[ route_check ] --END-- [ RunTime:0.001590s ]
[ 2012-08-08T02:07:16+08:00 ] /fornu/index.php/User/reg | INFO: Tag[ app_begin ] --START--
[ 2012-08-08T02:07:16+08:00 ] /fornu/index.php/User/reg | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000988s ]
[ 2012-08-08T02:07:16+08:00 ] /fornu/index.php/User/reg | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001197s ]
[ 2012-08-08T02:07:16+08:00 ] /fornu/index.php/User/reg | INFO: Tag[ view_template ] --START--
[ 2012-08-08T02:07:16+08:00 ] /fornu/index.php/User/reg | INFO: Run LocationTemplate Behavior [ RunTime:0.001061s ]
[ 2012-08-08T02:07:16+08:00 ] /fornu/index.php/User/reg | INFO: Tag[ view_template ] --END-- [ RunTime:0.001273s ]
[ 2012-08-08T02:07:16+08:00 ] /fornu/index.php/User/reg | INFO: Tag[ view_parse ] --START--
[ 2012-08-08T02:07:16+08:00 ] /fornu/index.php/User/reg | INFO: Run ParseTemplate Behavior [ RunTime:0.043745s ]
[ 2012-08-08T02:07:16+08:00 ] /fornu/index.php/User/reg | INFO: Tag[ view_parse ] --END-- [ RunTime:0.043942s ]
[ 2012-08-08T02:07:16+08:00 ] /fornu/index.php/User/reg | INFO: Tag[ view_filter ] --START--
[ 2012-08-08T02:07:16+08:00 ] /fornu/index.php/User/reg | INFO: Run ContentReplace Behavior [ RunTime:0.000787s ]
[ 2012-08-08T02:07:16+08:00 ] /fornu/index.php/User/reg | INFO: Run TokenBuild Behavior [ RunTime:0.000813s ]
[ 2012-08-08T02:07:16+08:00 ] /fornu/index.php/User/reg | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000503s ]
[ 2012-08-08T02:07:16+08:00 ] /fornu/index.php/User/reg | INFO: Run ShowRuntime Behavior [ RunTime:0.000961s ]
[ 2012-08-08T02:07:16+08:00 ] /fornu/index.php/User/reg | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003529s ]
[ 2012-08-08T02:07:16+08:00 ] /fornu/index.php/User/reg | INFO: Tag[ view_end ] --START--
[ 2012-08-08T02:07:16+08:00 ] /fornu/index.php/User/reg | INFO: Run ShowPageTrace Behavior [ RunTime:0.000803s ]
[ 2012-08-08T02:07:16+08:00 ] /fornu/index.php/User/reg | INFO: Tag[ view_end ] --END-- [ RunTime:0.001086s ]
[ 2012-08-08T02:07:39+08:00 ] /fornu/index/User/reg | INFO: Tag[ route_check ] --START--
[ 2012-08-08T02:07:39+08:00 ] /fornu/index/User/reg | INFO: Run CheckRoute Behavior [ RunTime:0.000887s ]
[ 2012-08-08T02:07:39+08:00 ] /fornu/index/User/reg | INFO: Tag[ route_check ] --END-- [ RunTime:0.001021s ]
[ 2012-08-08T02:07:39+08:00 ] /fornu/index/User/reg | INFO: Tag[ app_begin ] --START--
[ 2012-08-08T02:07:39+08:00 ] /fornu/index/User/reg | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000620s ]
[ 2012-08-08T02:07:39+08:00 ] /fornu/index/User/reg | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000723s ]
[ 2012-08-08T02:07:39+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_template ] --START--
[ 2012-08-08T02:07:39+08:00 ] /fornu/index/User/reg | INFO: Run LocationTemplate Behavior [ RunTime:0.000571s ]
[ 2012-08-08T02:07:39+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_template ] --END-- [ RunTime:0.000682s ]
[ 2012-08-08T02:07:39+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_parse ] --START--
[ 2012-08-08T02:07:39+08:00 ] /fornu/index/User/reg | INFO: Run ParseTemplate Behavior [ RunTime:0.008319s ]
[ 2012-08-08T02:07:39+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008461s ]
[ 2012-08-08T02:07:39+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_filter ] --START--
[ 2012-08-08T02:07:39+08:00 ] /fornu/index/User/reg | INFO: Run ContentReplace Behavior [ RunTime:0.000525s ]
[ 2012-08-08T02:07:39+08:00 ] /fornu/index/User/reg | INFO: Run TokenBuild Behavior [ RunTime:0.000542s ]
[ 2012-08-08T02:07:39+08:00 ] /fornu/index/User/reg | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000341s ]
[ 2012-08-08T02:07:39+08:00 ] /fornu/index/User/reg | INFO: Run ShowRuntime Behavior [ RunTime:0.000651s ]
[ 2012-08-08T02:07:39+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002375s ]
[ 2012-08-08T02:07:39+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_end ] --START--
[ 2012-08-08T02:07:39+08:00 ] /fornu/index/User/reg | INFO: Run ShowPageTrace Behavior [ RunTime:0.000615s ]
[ 2012-08-08T02:07:39+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_end ] --END-- [ RunTime:0.000723s ]
[ 2012-08-08T02:10:11+08:00 ] /fornu/index/User/reg | INFO: Tag[ route_check ] --START--
[ 2012-08-08T02:10:11+08:00 ] /fornu/index/User/reg | INFO: Run CheckRoute Behavior [ RunTime:0.002137s ]
[ 2012-08-08T02:10:11+08:00 ] /fornu/index/User/reg | INFO: Tag[ route_check ] --END-- [ RunTime:0.002310s ]
[ 2012-08-08T02:10:11+08:00 ] /fornu/index/User/reg | INFO: Tag[ app_begin ] --START--
[ 2012-08-08T02:10:11+08:00 ] /fornu/index/User/reg | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000961s ]
[ 2012-08-08T02:10:11+08:00 ] /fornu/index/User/reg | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001049s ]
[ 2012-08-08T02:10:11+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_template ] --START--
[ 2012-08-08T02:10:11+08:00 ] /fornu/index/User/reg | INFO: Run LocationTemplate Behavior [ RunTime:0.000639s ]
[ 2012-08-08T02:10:11+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_template ] --END-- [ RunTime:0.000732s ]
[ 2012-08-08T02:10:11+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_parse ] --START--
[ 2012-08-08T02:10:11+08:00 ] /fornu/index/User/reg | NOTIC: [2] include(menu.php) [<a href='function.include'>function.include</a>]: failed to open stream: No such file or directory 1ca25b6cd4897fb46b9cd9c43d3c5e8e.php 第 21 行.
[ 2012-08-08T02:10:11+08:00 ] /fornu/index/User/reg | NOTIC: [2] include() [<a href='function.include'>function.include</a>]: Failed opening 'menu.php' for inclusion (include_path='.;C:\php\pear;E:\koyo\fornu\ThinkPHP/Extend/Vendor/') 1ca25b6cd4897fb46b9cd9c43d3c5e8e.php 第 21 行.
[ 2012-08-08T02:10:11+08:00 ] /fornu/index/User/reg | INFO: Run ParseTemplate Behavior [ RunTime:0.006346s ]
[ 2012-08-08T02:10:11+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006409s ]
[ 2012-08-08T02:10:11+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_filter ] --START--
[ 2012-08-08T02:10:11+08:00 ] /fornu/index/User/reg | INFO: Run ContentReplace Behavior [ RunTime:0.000356s ]
[ 2012-08-08T02:10:11+08:00 ] /fornu/index/User/reg | INFO: Run TokenBuild Behavior [ RunTime:0.000354s ]
[ 2012-08-08T02:10:11+08:00 ] /fornu/index/User/reg | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000230s ]
[ 2012-08-08T02:10:11+08:00 ] /fornu/index/User/reg | INFO: Run ShowRuntime Behavior [ RunTime:0.000420s ]
[ 2012-08-08T02:10:11+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001526s ]
[ 2012-08-08T02:10:11+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_end ] --START--
[ 2012-08-08T02:10:11+08:00 ] /fornu/index/User/reg | INFO: Run ShowPageTrace Behavior [ RunTime:0.000350s ]
[ 2012-08-08T02:10:11+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_end ] --END-- [ RunTime:0.000402s ]
[ 2012-08-08T02:10:11+08:00 ] /fornu/index/User/images/reg_step_1.jpg | ERR: (ThinkException) 非法操作images
[ 2012-08-08T02:10:11+08:00 ] /fornu/index/User/images/temp_reg_cer.png | ERR: (ThinkException) 非法操作images
[ 2012-08-08T02:10:11+08:00 ] /fornu/index/User/images/reg_step_2.jpg | ERR: (ThinkException) 非法操作images
[ 2012-08-08T02:10:15+08:00 ] /fornu/index/User/reg | INFO: Tag[ route_check ] --START--
[ 2012-08-08T02:10:15+08:00 ] /fornu/index/User/reg | INFO: Run CheckRoute Behavior [ RunTime:0.001530s ]
[ 2012-08-08T02:10:15+08:00 ] /fornu/index/User/reg | INFO: Tag[ route_check ] --END-- [ RunTime:0.001680s ]
[ 2012-08-08T02:10:15+08:00 ] /fornu/index/User/reg | INFO: Tag[ app_begin ] --START--
[ 2012-08-08T02:10:15+08:00 ] /fornu/index/User/reg | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000516s ]
[ 2012-08-08T02:10:15+08:00 ] /fornu/index/User/reg | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000599s ]
[ 2012-08-08T02:10:15+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_template ] --START--
[ 2012-08-08T02:10:15+08:00 ] /fornu/index/User/reg | INFO: Run LocationTemplate Behavior [ RunTime:0.000394s ]
[ 2012-08-08T02:10:15+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_template ] --END-- [ RunTime:0.000478s ]
[ 2012-08-08T02:10:15+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_parse ] --START--
[ 2012-08-08T02:10:15+08:00 ] /fornu/index/User/reg | NOTIC: [2] include(menu.php) [<a href='function.include'>function.include</a>]: failed to open stream: No such file or directory 1ca25b6cd4897fb46b9cd9c43d3c5e8e.php 第 21 行.
